"","Date","Longitude","Latitude","Code","station"
"83",2014-04-14 01:00:00,"72.3","-7.175","135869","GPS"
"84",2014-04-14 07:00:00,"72.35","-7.125","135869","GPS"
"85",2014-04-14 12:00:00,"72.35","-7.175","135869","GPS"
"86",2014-04-14 13:00:00,"72.375","-7.175","135869","GPS"
"87",2014-04-15 00:00:00,"72.35","-7.175","135869","GPS"
"88",2014-04-15 01:00:00,"72.35","-7.175","135869","GPS"
"89",2014-04-15 07:00:00,"72.35","-7.15","135869","GPS"
"90",2014-04-15 12:00:00,"72.375","-7.2","135869","GPS"
"91",2014-04-15 13:00:00,"72.375","-7.2","135869","GPS"
"92",2014-04-16 00:00:00,"72.375","-7.35","135869","GPS"
"93",2014-04-16 00:00:00,"72.375","-7.35","135869","GPS"
"94",2014-04-16 01:00:00,"72.375","-7.35","135869","GPS"
"95",2014-04-16 12:00:00,"72.375","-7.35","135869","GPS"
"96",2014-04-16 13:00:00,"72.375","-7.35","135869","GPS"
"97",2014-04-17 00:00:00,"72.375","-7.35","135869","GPS"
"98",2014-04-17 00:00:00,"72.375","-7.35","135869","GPS"
"99",2014-04-17 01:00:00,"72.375","-7.35","135869","GPS"
"100",2014-04-17 12:00:00,"72.4","-7.325","135869","GPS"
"101",2014-04-17 13:00:00,"72.4","-7.325","135869","GPS"
"102",2014-04-18 00:00:00,"72.575","-7","135869","GPS"
"103",2014-04-18 01:00:00,"72.575","-7","135869","GPS"
"104",2014-04-18 04:00:00,"72.625","-6.925","135869","GPS"
"105",2014-04-18 12:00:00,"72.675","-7.5","135869","GPS"
"106",2014-04-18 13:00:00,"72.675","-7.5","135869","GPS"
"107",2014-04-19 00:00:00,"72.675","-7.625","135869","GPS"
"108",2014-04-19 00:00:00,"72.675","-7.625","135869","GPS"
"109",2014-04-19 01:00:00,"72.675","-7.625","135869","GPS"
"110",2014-04-19 12:00:00,"72.65","-7.475","135869","GPS"
"111",2014-04-19 13:00:00,"72.65","-7.475","135869","GPS"
"112",2014-04-20 00:00:00,"72.675","-7.45","135869","GPS"
"113",2014-04-20 00:00:00,"72.675","-7.45","135869","GPS"
"114",2014-04-20 01:00:00,"72.675","-7.45","135869","GPS"
"115",2014-04-20 12:00:00,"72.675","-7.45","135869","GPS"
"116",2014-04-20 13:00:00,"72.675","-7.45","135869","GPS"
"117",2014-04-21 00:00:00,"72.8","-7.375","135869","GPS"
"118",2014-04-21 01:00:00,"72.8","-7.375","135869","GPS"
"119",2014-04-21 07:00:00,"72.65","-7.5","135869","GPS"
"120",2014-04-21 12:00:00,"72.575","-7.55","135869","GPS"
